Sr.,Station,day,month,year,CO,NO2,SO2,Temperature,Humudity,Noise,O3,Uray,AQI,PM2_5,PM10
22,10,16,2,2022,0.57,3.62,0.02,29.65,78.51,70.16,101.28462,5,49,21.4,101.28
23,10,17,2,2022,0.6,6.54,2.04,32.64,32.93,76.8,66.57173,7,91,19.55,66.57
24,10,18,2,2022,0.7,2.53,2.04,29.25,77.9,67.77,76.74953,4,59,15.53,76.74
25,10,19,2,2022,0.69,1.52,2.04,28.61,50.26,66.3,101.19261,4,63,17.33,101.19
26,10,20,2,2022,0.61,2.17,2.04,32.64,50.35,76.4,82.43097,8,71,21.16,82.43
27,10,21,2,2022,0.62,11.08,1.2,28.61,39.41,73.98,82.51408,6,49,15.85,82.51
28,10,22,2,2022,0.58,9.77,2.04,35.07,60.06,76.8,64.61295,4,91,17.91,64.61
29,10,23,2,2022,0.57,5.46,2.04,32.64,61.54,67.77,61.45573,3,59,15.74,61.45
30,10,24,2,2022,0.52,10.15,1.2,29.25,54.48,66.3,75.46054,7,63,13.55,74.46
31,10,25,2,2022,0.45,8.46,0.03,28.61,51.24,76.4,80.185,3,75,15.15,80.18
32,10,26,2,2022,0.51,3.86,0.01,32.64,38.91,70.16,84.07666,5,73,17.65,84.07
33,10,27,2,2022,0.44,7.47,2.04,28.61,62.54,76.8,75.6158,2,93,16.58,75.61
34,10,28,2,2022,0.37,5.42,2.04,35.07,78.51,76.4,54.90273,4,87,14.66,54.9
35,10,1,3,2022,0.39,3,1.2,35.63,32.93,70.16,46.06804,6,52,15.6,46.06
36,10,2,3,2022,0.5,2.31,0.03,37.51,77.9,76.8,50.45185,3,72,13.27,50.45
37,10,3,3,2022,0.52,4.26,0.01,31.99,62.54,67.77,45.02585,5,64,12.89,45.02
38,10,4,3,2022,0.63,3.31,1.42,34.22,78.51,66.3,64.61373,2,75,17.17,64.61
39,10,5,3,2022,0.55,12.46,0.01,28.61,32.93,76.4,53.191,4,73,32.98,53.19
40,10,6,3,2022,0.42,10,0.02,35.07,77.9,73.98,67.06442,6,93,19.21,67.06
41,10,7,3,2022,0.42,3.54,2.04,35.63,50.26,76.8,40.80925,3,87,18.88,40.8
42,10,8,3,2022,0.4,7.69,2.04,37.51,50.35,76.4,46.04762,2,52,15.69,46.04
43,10,9,3,2022,0.43,14.03,2.04,34.22,39.41,73.98,47.70105,4,72,19.05,47.7
44,10,10,3,2022,0.53,8.46,2.04,28.61,60.06,76.8,57.26051,5,64,27.82,57.26
45,10,11,3,2022,0.42,8.31,1.2,35.07,61.54,67.77,63.98423,7,61,23.76,63.98
46,10,12,3,2022,0.52,7.91,2.04,35.63,65.53,66.3,69.5945,4,71,26.1,69.59
47,10,13,3,2022,0.49,7.97,2.04,37.51,60.06,76.4,61.98826,4,49,42.02,61.98
48,10,14,3,2022,0.55,3.52,1.2,28.61,61.54,70.16,61.94528,3,91,24.84,61.94
49,10,15,3,2022,0.45,5.74,0.03,35.07,54.48,76.8,98.90198,5,59,43.11,98.9
50,10,16,3,2022,0.49,5.69,1.2,35.63,51.24,76.4,51.73804,2,63,67.98,51.73
51,10,17,3,2022,0.49,6.75,0.03,37.51,38.91,70.16,85.91387,4,71,28.85,85.91
52,10,18,3,2022,0.49,5.3,0.01,34.22,62.54,68.35,56.5862,6,49,37.04,56.58
53,10,19,3,2022,0.43,3.67,1.42,28.61,78.51,70.82,33.43456,3,91,21.04,33.43
54,10,20,3,2022,0.42,3.18,0.01,35.07,32.93,70.43,80.58238,5,59,12.27,80.58
55,10,21,3,2022,0.42,2.69,0.02,35.63,77.9,76.68,80.58238,2,63,22.08,91.27
56,10,22,3,2022,0.37,2.95,2.04,37.51,50.26,73.07,68.58217,4,75,24.48,68.58
57,10,23,3,2022,0.43,3.15,2.04,28.61,50.35,73.98,58.04196,6,73,19.39,58.04
58,10,24,3,2022,0.43,2.92,2.04,35.07,39.41,76.8,64.01881,3,93,16.89,64.01
59,10,25,3,2022,0.44,4.15,2.04,35.63,60.06,67.77,41.00188,2,73,17.57,41
60,10,26,3,2022,0.52,7.38,1.2,37.51,61.54,66.3,61.26108,4,93,12.46,61.26
61,10,27,3,2022,0.52,3.19,2.04,34.22,65.53,76.4,83.89496,5,87,24.84,83.89
62,10,28,3,2022,0.45,1.62,2.04,38.61,60.06,70.16,73.5337,7,52,26.2,73.53
63,10,29,3,2022,0.4,3.38,0.01,33.07,61.54,76.8,67.29881,4,72,20.66,67.29
64,10,30,3,2022,0.46,2.27,0.02,36.63,62.54,67.77,56.13123,4,64,17.47,56.13
65,10,31,3,2022,0.47,6.31,2.04,39.51,78.51,66.3,49.8473,8,61,14.99,49.84
66,10,1,4,2022,0.54,3.08,2.04,38.61,32.93,76.4,15.75569,6,71,21.34,45.58
67,10,2,4,2022,0.45,2.83,2.04,39.07,77.9,73.98,15.47367,4,49,25.08,25.83
68,10,3,4,2022,0.45,7.6,2.04,36.63,62.54,76.8,11.27884,3,91,7.14,33.57
69,10,4,4,2022,0.5,7.77,1.2,37.51,78.51,67.77,17.31431,7,59,11.97,54.93
70,10,5,4,2022,0.39,4.43,2.04,34.22,32.93,66.3,8.25859,3,63,37.64,42.07
71,10,6,4,2022,0.32,4.85,0.03,33.07,77.9,76.4,1.26931,5,71,28.06,52.36
72,10,7,4,2022,0.34,2.58,0.01,36.63,50.26,70.16,5.82662,2,49,37.34,37.9
73,10,8,4,2022,0.46,5.35,1.42,39.51,50.35,76.8,2.77895,4,71,18.55,66.37
74,10,9,4,2022,0.56,7.31,0.01,38.61,39.41,67.77,4.19808,6,49,40.09,109.12
75,10,10,4,2022,0.46,4.42,0.02,39.07,60.06,66.3,6.03496,3,91,41.62,68.98
76,10,11,4,2022,0.39,3.27,2.04,36.63,61.54,76.4,4.59327,7,59,22.66,46.22
77,10,12,4,2022,0.46,4.57,2.04,37.51,65.53,73.98,5.23378,4,63,16.24,60.35
78,10,13,4,2022,0.5,0.38,2.04,34.22,60.06,76.8,9.9425,4,71,29.3,80.06
79,10,14,4,2022,0.43,1,2.04,41.22,61.54,67.77,0.102,3,49,30.96,72.99
80,10,15,4,2022,0.5,0.77,1.2,43.07,54.48,66.3,10.55815,5,91,40.27,59.59
81,10,16,4,2022,0.55,5.62,2.04,39.63,60.06,76.4,7.31135,2,59,24.84,71.84
82,10,17,4,2022,0.51,3.39,2.04,41.51,61.54,70.16,5.64202,4,63,52.49,80
83,10,18,4,2022,0.46,3.64,0.01,42.61,65.53,76.8,11.56489,6,75,59.84,42.88
84,10,19,4,2022,0.41,3.82,0.02,43.07,60.06,76.4,7.9042,3,73,19.48,61.17
85,10,20,4,2022,0.42,3.94,2.04,43.63,61.54,70.16,8.48906,5,93,18.29,68.69
86,10,21,4,2022,0.43,2.37,2.04,43.59,62.54,76.8,9.88672,2,73,20.42,65.41
87,10,22,4,2022,0.45,4.46,2.04,44.47,78.51,67.77,10.97446,4,93,18.78,63.11
88,10,23,4,2022,0.46,4.69,2.04,44.61,32.93,66.3,10.89854,6,87,18.04,64.7
89,10,24,4,2022,0.47,6.26,1.2,43.07,77.9,76.4,10.80893,3,52,20.46,92.66
90,10,25,4,2022,0.47,9.46,2.04,44.63,62.54,73.98,10.65977,2,72,29.22,84.88
91,10,26,4,2022,0.52,2.77,2.04,46.61,78.51,76.8,9.77485,4,49,66.6,91.83
92,10,27,4,2022,0.53,6.64,0.01,45.07,32.93,76.4,10.5716,5,91,61.88,36.29
93,10,28,4,2022,0.5,5.31,0.02,46.63,77.9,73.98,8.35108,5,59,17.69,49.93
94,10,29,4,2022,0.51,4.38,2.04,42.61,50.26,76.8,9.35346,2,63,18.81,63.78
95,10,30,4,2022,0.54,9.54,1.2,43.07,50.35,66.3,7.13282,4,71,20.19,85.8
96,10,1,5,2022,0.68,0.1,2.04,43.63,39.41,76.4,30.38636,6,49,48.56,101.99
97,10,2,5,2022,0.73,5.93,0.03,43.59,60.06,70.16,24.99019,3,71,86.14,54.27
98,10,3,5,2022,0.58,4.23,0.01,44.47,61.54,76.8,13.73338,2,49,23.66,44.83
99,10,4,5,2022,0.48,2.98,1.42,44.61,65.53,67.77,11.27924,4,91,20.12,28.79
100,10,5,5,2022,0.51,6.3,0.01,43.07,39.41,66.3,12.64428,5,59,14.09,39.79
101,10,6,5,2022,0.54,9.53,0.02,44.63,60.06,76.4,10.44953,7,63,24.81,72.61
102,10,7,5,2022,0.55,5.31,2.04,46.61,61.54,70.16,1.79208,4,71,37.8,101.43
103,10,8,5,2022,0.61,3.74,2.04,45.07,65.53,68.35,2.59214,4,49,77.21,149.69
104,10,9,5,2022,0.47,4.46,2.04,44.61,60.06,70.82,4.90846,8,91,90.55,97.89
105,10,10,5,2022,0.43,4.46,2.04,43.07,61.54,70.43,73.5337,6,59,32.77,59.59
106,10,11,5,2022,0.45,4.69,1.2,44.63,54.48,76.68,67.29881,4,63,21.55,71.84
107,10,12,5,2022,0.46,6.26,2.04,46.61,60.06,73.07,56.13123,3,75,17.33,80
108,10,13,5,2022,0.47,9.46,2.04,45.07,61.54,73.98,49.8473,7,71,23.4,42.88
109,10,14,5,2022,0.47,2.77,0.01,46.63,62.54,76.8,15.75569,3,49,38.17,61.17
110,10,15,5,2022,0.52,6.64,0.02,42.61,78.51,67.77,15.47367,5,91,36.22,68.69
111,10,16,5,2022,0.53,5.31,0.01,43.07,32.93,66.3,11.27884,2,59,68.67,65.41
112,10,17,5,2022,0.5,4.38,1.42,43.63,77.9,76.4,17.31431,4,63,17.69,63.11
113,10,18,5,2022,0.51,9.54,0.01,43.59,62.54,70.16,8.25859,6,75,18.81,64.7
114,10,19,5,2022,0.54,0.1,0.02,44.47,78.51,76.8,1.26931,3,73,20.19,92.66
115,10,20,5,2022,0.5,5.93,2.04,44.61,32.93,67.77,5.82662,7,93,48.56,84.88
116,10,21,5,2022,0.43,4.23,2.04,46.61,77.9,66.3,2.77895,4,73,86.14,44.83
117,10,22,5,2022,0.5,2.98,2.04,45.07,50.26,76.4,4.19808,4,93,23.66,28.79
118,10,23,5,2022,0.55,6.3,2.04,46.63,50.35,73.98,12.64428,3,87,20.12,39.79
119,10,24,5,2022,0.51,9.53,1.2,42.61,39.41,73.98,10.44953,5,52,14.09,72.61
120,10,25,5,2022,0.46,3.52,2.04,43.07,60.06,76.8,1.79208,2,72,24.81,101.43
121,10,26,5,2022,0.41,5.74,2.04,43.63,61.54,76.4,2.59214,4,49,37.8,149.69
122,10,27,5,2022,0.42,5.69,0.01,43.59,50.35,73.98,4.90846,5,91,21.55,97.89
123,10,28,5,2022,0.43,6.75,0.02,44.47,39.41,76.8,73.5337,5,52,17.33,59.59
124,10,29,5,2022,0.45,5.3,2.04,44.61,60.06,67.77,67.29881,2,72,23.4,71.84
125,10,30,5,2022,0.46,3.67,2.04,42.61,61.54,66.3,56.13123,4,49,38.17,80
126,10,31,5,2022,0.47,3.18,2.04,43.07,65.53,76.4,49.8473,6,91,36.22,42.88
127,10,1,6,2022,0.47,2.69,2.04,43.63,39.41,70.16,15.75569,3,59,68.67,97.89
128,10,2,6,2022,0.52,2.95,1.2,43.59,60.06,76.8,15.47367,2,63,17.69,59.59
129,10,3,6,2022,0.53,3.15,2.04,44.47,61.54,76.4,11.27884,4,71,18.81,71.84
130,10,4,6,2022,0.5,2.92,2.04,44.61,65.53,70.16,17.31431,5,49,20.19,80
131,10,5,6,2022,0.49,4.15,0.01,44.61,60.06,68.35,8.25859,7,71,48.56,42.88
132,10,6,6,2022,0.43,7.38,0.02,42.61,61.54,70.82,1.26931,4,49,37.8,61.17
133,10,7,6,2022,0.42,3.19,0.01,43.07,54.48,70.43,41.00188,4,91,21.55,68.69
134,10,8,6,2022,0.42,1.62,2.04,43.63,60.06,76.68,61.26108,8,59,17.33,65.41
135,10,9,6,2022,0.37,3.38,2.04,43.59,61.54,73.07,83.89496,6,63,23.4,63.11
136,10,10,6,2022,0.43,2.27,1.2,38.47,62.54,73.98,73.5337,4,71,38.17,64.7
137,10,11,6,2022,0.43,6.31,2.04,39.61,50.26,76.8,67.29881,3,49,36.22,80
138,10,12,6,2022,0.44,3.08,2.04,40.07,50.35,67.77,56.13123,7,91,68.67,42.88
139,10,13,6,2022,0.52,2.83,0.01,41.63,39.41,68.35,49.8473,7,59,17.69,61.17
140,10,14,6,2022,0.52,7.6,0.02,43.59,60.06,70.82,15.75569,4,63,18.81,68.69
141,10,15,6,2022,0.45,7.77,2.04,38.47,61.54,70.43,15.47367,4,75,20.19,65.41
142,10,16,6,2022,0.4,4.43,2.04,39.61,50.35,76.68,11.27884,8,71,23.4,63.11
143,10,17,6,2022,0.46,4.85,2.04,40.07,39.41,73.07,17.31431,6,49,38.17,64.7
144,10,18,6,2022,0.47,4.23,2.04,36.63,60.06,73.98,15.47367,4,93,36.22,92.66
145,10,19,6,2022,0.54,2.98,1.2,39.51,61.54,76.8,11.27884,3,73,68.67,84.88
146,10,20,6,2022,0.45,6.3,2.04,38.61,65.53,67.77,17.31431,4,93,17.69,44.83
147,10,21,6,2022,0.45,9.53,2.04,39.07,62.54,66.3,8.25859,8,87,18.81,28.79
148,10,22,6,2022,0.5,5.31,0.01,36.63,78.51,76.4,1.26931,6,52,20.19,39.79
149,10,23,6,2022,0.39,3.74,1.2,37.51,32.93,70.16,41.00188,4,72,48.56,72.61
150,10,24,6,2022,0.32,4.46,2.04,34.22,77.9,76.8,61.26108,3,49,37.8,64.7
151,10,25,6,2022,0.34,4.46,2.04,39.51,62.54,67.77,83.89496,7,91,21.55,92.66
152,10,26,6,2022,0.56,4.69,0.01,38.61,78.51,66.3,73.5337,7,52,17.33,84.88
153,10,27,6,2022,0.6,6.26,0.02,39.07,32.93,76.4,67.29881,4,72,23.4,44.83
154,10,28,6,2022,1.06,9.46,2.04,36.63,77.9,73.98,56.13123,4,49,38.17,28.79
155,10,29,6,2022,0.59,2.77,2.04,37.51,50.26,76.8,49.8473,8,91,24.81,39.79
156,10,30,6,2022,0.57,6.64,2.04,34.22,50.35,67.77,15.75569,6,59,37.8,72.61
157,10,1,7,2022,0.6,5.31,2.04,36.63,39.41,66.3,15.47367,4,52,21.55,101.43
158,10,2,7,2022,0.7,4.38,1.2,37.51,60.06,76.4,11.27884,3,72,17.33,149.69
159,10,3,7,2022,0.69,9.54,1.2,34.22,50.35,76.4,17.31431,4,49,23.4,97.89
160,10,4,7,2022,0.61,5.3,2.04,39.51,39.41,70.16,15.47367,8,91,38.17,59.59
161,10,5,7,2022,0.62,3.67,2.04,38.61,60.06,76.8,11.27884,6,59,36.22,71.84
162,10,6,7,2022,0.58,3.18,0.01,39.07,61.54,67.77,17.31431,4,63,68.67,80
163,10,7,7,2022,0.57,2.69,1.2,36.63,65.53,66.3,8.25859,3,71,17.69,42.88
164,10,8,7,2022,0.52,2.95,2.04,37.51,62.54,76.4,1.26931,4,49,18.81,97.89
165,10,9,7,2022,0.45,3.15,2.04,33.25,78.51,70.16,41.00188,8,71,20.19,59.59
166,10,10,7,2022,0.51,2.92,0.01,29.54,50.26,68.35,61.26108,6,49,48.56,71.84
167,10,11,7,2022,0.44,4.15,2.04,29.89,50.35,70.82,83.89496,4,91,48.56,80
168,10,12,7,2022,0.37,7.38,1.2,33.45,39.41,70.43,73.5337,3,59,37.8,42.88
169,10,13,7,2022,0.39,3.19,1.2,33.75,60.06,76.68,67.29881,7,63,21.55,84.88
170,10,14,7,2022,0.5,1.62,2.04,32.78,61.54,73.07,15.47367,7,71,17.33,44.83
171,10,15,7,2022,0.52,3.38,2.04,31.58,50.35,73.98,11.27884,4,49,23.4,28.79
172,10,16,7,2022,0.63,2.27,0.01,33.79,39.41,76.8,17.31431,4,91,38.17,39.79
173,10,17,7,2022,0.55,6.31,1.2,34.25,60.06,67.77,8.25859,8,59,24.81,72.61
174,10,18,7,2022,0.42,3.08,2.04,31.78,61.54,70.16,1.26931,6,63,37.8,101.43
175,10,19,7,2022,0.42,2.83,2.04,29.64,65.53,76.8,41.00188,4,63,21.55,149.69
176,10,20,7,2022,0.4,7.6,0.01,28.45,62.54,67.77,61.26108,3,71,17.33,97.89
177,10,21,7,2022,0.43,7.77,0.01,27.62,78.51,66.3,83.89496,4,49,23.4,59.59
178,10,22,7,2022,0.53,4.43,1.2,29.43,32.93,76.4,73.5337,8,71,38.17,71.84
179,10,23,7,2022,0.42,4.85,2.04,29.21,77.9,70.16,67.29881,4,49,38.17,80
180,10,24,7,2022,0.52,3.15,2.04,27.16,62.54,68.35,73.5337,3,91,36.22,39.79
181,30,26,1,2022,0.62,6.05,2.04,29.65,55.1,68.35,86.97252,2,49,18.2,86.97
182,30,27,1,2022,0.28,3.4,2.04,26.11,53.9,70.82,83.81773,4,91,21.03,78.82
183,30,28,1,2022,0.6,1.42,1.42,26.11,55.82,70.43,86.78658,5,59,26.43,71.9
184,30,29,1,2022,0.52,1.78,0.01,29.65,56.58,76.68,66.20958,7,63,30.66,68.18
185,30,30,1,2022,0.62,4,0.02,27.71,62.54,73.07,82.28046,4,75,28.97,62.3
186,30,31,1,2022,0.68,8.68,2.04,29.65,61.54,73.98,92.52669,3,73,22.96,69.08
187,30,1,2,2022,0.68,1.86,2.04,27.71,57.65,70.16,96.4635,6,93,15.75,77.03
188,30,2,2,2022,0.63,14.03,0.01,30.35,56.58,68.17,77.00151,4,87,18.53,96.53
189,30,3,2,2022,0.59,11.08,0.02,22.43,62.54,72.38,62.3024,8,52,21.75,82.54
190,30,4,2,2022,0.65,6.05,2.04,26.11,57.37,69.97,69.08144,6,72,26.03,61.3
191,30,5,2,2022,0.61,3.4,2.04,27.71,65.53,74.74,77.03408,4,64,23.51,105.7
192,30,6,2,2022,0.62,1.42,2.04,27.65,60.06,67.77,96.53158,3,75,17.32,83.81
193,30,7,2,2022,0.28,1.78,2.04,22.43,61.54,70.82,82.54535,7,73,18.2,86.78
194,30,8,2,2022,0.6,4,1.2,26.11,54.48,70.43,61.30031,3,93,25.35,66.2
195,30,9,2,2022,0.53,8.68,2.04,22.43,51.24,76.68,59.24069,5,87,21.03,82.28
196,30,10,2,2022,0.5,1.86,2.04,26.11,57.65,73.07,68.24446,2,52,26.43,92.52
197,30,11,2,2022,0.53,2.71,1.2,26.11,61.54,73.98,69.04877,4,64,30.66,96.46
198,30,12,2,2022,0.56,4.39,0.03,29.65,54.48,76.8,73.32785,6,82,28.97,77
199,30,13,2,2022,0.63,6.15,0.02,26.11,51.24,67.77,64.41218,3,97,22.96,62.3
200,30,14,2,2022,0.59,8.15,2.04,26.11,38.91,66.3,150.15589,2,65,15.75,69.08
201,30,15,2,2022,0.65,5.31,2.04,29.65,62.54,76.4,96.53158,4,43,18.53,104.07
202,30,16,2,2022,0.61,6.64,0.01,27.71,78.51,70.16,82.54535,5,85,21.75,101.28
203,30,17,2,2022,0.62,13.18,0.02,30.35,32.93,76.8,61.30031,7,43,23.75,66.57
204,30,18,2,2022,0.28,6.45,2.04,27.71,77.9,70.16,73.05961,4,75,26.03,76.74
205,30,19,2,2022,0.6,6.05,2.04,31.65,50.26,68.17,75.92088,4,68,23.51,101.19
206,30,20,2,2022,0.52,3.4,2.04,22.43,50.35,72.38,86.97252,8,94,17.32,82.43
207,30,21,2,2022,0.62,1.42,2.04,28.61,56.58,69.97,83.81773,6,49,18.2,82.51
208,30,22,2,2022,0.68,1.78,1.2,35.07,62.54,74.74,86.78658,4,43,21.03,64.61
209,30,23,2,2022,0.68,4,1.2,32.64,61.54,67.77,66.20958,3,85,26.43,61.45
210,30,24,2,2022,0.63,8.68,0.03,29.25,57.65,70.82,82.28046,7,43,13.55,74.46
211,30,25,2,2022,0.45,1.86,0.02,28.61,56.58,70.43,92.52669,3,75,15.15,80.18
212,30,26,2,2022,0.51,14.03,2.04,32.64,62.54,76.68,96.4635,5,68,17.65,84.07
213,30,27,2,2022,0.44,11.08,2.04,28.61,57.37,73.07,73.32785,2,94,16.58,75.61
214,30,28,2,2022,0.37,6.05,0.01,35.07,65.53,73.98,64.41218,4,58,14.66,54.9
215,30,1,3,2022,0.39,3,0.02,35.63,60.06,76.8,150.15589,6,73,15.6,46.06
216,30,2,3,2022,0.5,2.31,2.04,37.51,61.54,67.77,96.53158,3,71,13.27,50.45
217,30,3,3,2022,0.52,4.26,2.04,31.99,54.48,66.3,82.54535,5,51,12.89,45.02
218,30,4,3,2022,0.63,3.31,2.04,34.22,51.24,76.4,61.30031,2,64,21.03,64.61
219,30,5,3,2022,0.55,12.46,2.04,28.61,57.65,70.16,73.05961,4,46,26.43,53.19
220,30,6,3,2022,0.42,10,1.2,35.07,77.9,76.8,75.92088,6,61,30.66,67.06
221,30,7,3,2022,0.42,3.54,0.03,35.63,50.26,76.8,86.97252,3,71,28.97,105.7
222,30,8,3,2022,0.4,7.69,0.02,37.51,50.35,76.4,83.81773,2,52,22.96,83.81
223,30,9,3,2022,0.43,14.03,2.04,34.22,39.41,70.16,86.78658,4,72,15.75,86.78
224,30,10,3,2022,0.53,8.46,2.04,28.61,60.06,68.17,66.20958,5,64,18.53,66.2
225,30,11,3,2022,0.42,8.31,0.01,35.07,61.54,72.38,63.98423,7,61,21.75,82.28
226,30,12,3,2022,0.52,7.91,0.02,35.63,65.53,69.97,69.5945,4,71,23.75,92.52
227,30,13,3,2022,0.49,7.97,2.04,37.51,60.06,74.74,73.32785,4,49,26.03,96.46
228,30,14,3,2022,0.55,3.52,2.04,28.61,61.54,67.77,83.81773,3,91,23.51,77
229,30,15,3,2022,0.45,5.74,2.04,35.07,54.48,70.82,86.78658,5,59,17.32,62.3
230,30,16,3,2022,0.49,5.69,2.04,35.63,51.24,70.43,66.20958,2,43,18.2,69.08
231,30,17,3,2022,0.49,6.75,1.2,37.51,38.91,76.68,82.28046,4,85,21.03,104.07
232,30,18,3,2022,0.49,5.3,0.01,34.22,62.54,73.07,92.52669,6,43,26.43,101.28
233,30,19,3,2022,0.43,6.64,1.42,28.61,78.51,67.77,96.4635,3,75,21.04,33.43
234,30,20,3,2022,0.42,13.18,0.01,35.07,32.93,66.3,73.32785,5,68,12.27,80.58
235,30,21,3,2022,0.42,6.45,0.02,35.63,56.58,76.4,64.41218,2,94,22.08,91.27
236,30,22,3,2022,0.37,6.05,2.04,37.51,62.54,70.16,150.15589,4,43,24.48,68.58
237,30,23,3,2022,0.43,3.4,2.04,28.61,61.54,76.8,96.53158,6,85,19.39,58.04
238,30,24,3,2022,0.43,1.42,2.04,35.07,57.65,76.8,82.54535,3,43,16.89,64.01
239,30,25,3,2022,0.44,1.78,2.04,35.63,56.58,76.4,61.30031,2,75,17.57,41
240,30,26,3,2022,0.52,4,1.2,37.51,62.54,70.16,73.05961,4,68,12.46,61.26
241,30,27,3,2022,0.52,8.68,0.03,34.22,57.37,68.17,75.92088,5,94,24.84,83.89
242,30,28,3,2022,0.45,1.86,0.02,38.61,65.53,72.38,73.5337,7,58,26.2,73.53
243,30,29,3,2022,0.4,14.03,2.04,33.07,60.06,69.97,67.29881,4,73,20.66,67.29
244,30,30,3,2022,0.46,11.08,2.04,36.63,61.54,74.74,56.13123,4,71,17.47,56.13
245,30,31,3,2022,0.47,6.05,0.01,39.51,54.48,67.77,49.8473,8,51,21.03,49.84
246,30,1,4,2022,0.54,3.08,0.02,38.61,60.06,76.4,83.81773,6,64,26.43,105.7
247,30,2,4,2022,0.45,2.83,2.04,39.07,61.54,73.98,86.78658,4,46,30.66,83.81
248,30,3,4,2022,0.59,7.6,2.04,36.63,65.53,76.8,66.20958,3,61,28.97,86.78
249,30,4,4,2022,0.65,7.77,2.04,37.51,60.06,67.77,82.28046,7,71,22.96,66.2
250,30,5,4,2022,0.61,4.43,2.04,34.22,61.54,66.3,92.52669,3,63,15.75,82.28
251,30,6,4,2022,0.62,4.85,1.2,33.07,54.48,76.4,96.4635,5,71,18.53,92.52
252,30,7,4,2022,0.28,2.58,0.01,36.63,51.24,70.16,73.32785,2,49,21.75,96.46
253,30,8,4,2022,0.6,5.35,1.42,39.51,38.91,76.8,64.41218,4,71,23.75,77
254,30,9,4,2022,0.56,7.31,0.01,38.61,62.54,76.8,150.15589,6,49,26.03,62.3
255,30,10,4,2022,0.46,6.64,0.02,39.07,78.51,76.4,96.53158,3,91,23.51,69.08
256,30,11,4,2022,0.39,13.18,2.04,36.63,32.93,70.16,82.54535,7,59,17.32,104.07
257,30,12,4,2022,0.46,6.45,2.04,37.51,65.53,68.17,83.81773,4,63,18.2,101.28
258,30,13,4,2022,0.5,6.05,2.04,34.22,60.06,72.38,86.78658,4,71,21.03,80.06
259,30,14,4,2022,0.43,3.4,2.04,41.22,61.54,69.97,66.20958,3,49,26.43,72.99
260,30,15,4,2022,0.5,1.42,2.04,43.07,54.48,74.74,82.28046,5,43,40.27,59.59
261,30,16,4,2022,0.55,1.78,2.04,39.63,60.06,67.77,92.52669,2,85,24.84,71.84
262,30,17,4,2022,0.51,4,1.2,41.51,61.54,70.16,96.4635,4,43,52.49,80
263,30,18,4,2022,0.46,8.68,0.01,42.61,65.53,76.8,73.32785,6,75,59.84,42.88
264,30,19,4,2022,0.41,1.86,1.42,43.07,60.06,76.4,64.41218,3,68,19.48,61.17
265,30,20,4,2022,0.42,14.03,0.01,43.63,61.54,70.16,150.15589,5,94,18.29,68.69
266,30,21,4,2022,0.43,11.08,0.02,43.59,65.53,76.8,96.53158,2,58,20.42,65.41
267,30,22,4,2022,0.45,6.05,2.04,44.47,60.06,76.8,82.54535,4,73,18.78,63.11
